Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
419,Tomas Satoransky\satorto01,SG,26,WAS,53,14,19.6,2.5,4.6,.535,0.6,1.3,.465,1.8,3.3,.563,.602,0.9,1.2,.754,0.8,1.7,2.5,3.4,0.7,0.2,0.9,1.5,6.5
420,Dennis Schroder\schrode01,PG,24,ATL,58,58,31.2,7.4,17.1,.432,1.1,3.8,.285,6.3,13.3,.475,.464,3.4,3.9,.868,0.7,2.4,3.1,6.1,1.2,0.1,2.6,2.1,19.3
421,Mike Scott\scottmi01,PF,29,WAS,57,1,18.1,3.6,6.8,.536,0.9,2.2,.405,2.7,4.6,.600,.602,0.6,0.9,.692,0.6,2.6,3.2,0.9,0.3,0.2,1.1,2.0,8.8
422,Thabo Sefolosha\sefolth01,SF,33,UTA,38,6,21.2,3.1,6.3,.492,0.8,2.2,.381,2.3,4.1,.551,.558,1.2,1.4,.815,0.8,3.5,4.2,0.9,1.4,0.3,0.8,1.6,8.2
423,Wayne Selden\seldewa01,SG,23,MEM,20,8,19.5,2.9,7.1,.404,1.2,3.2,.381,1.7,3.9,.423,.489,1.4,1.9,.730,0.5,1.3,1.8,1.8,0.6,0.1,1.8,2.0,8.3
424,Ramon Sessions\sessira01,PG,31,NYK,13,3,12.8,1.3,4.1,.321,0.2,0.8,.182,1.2,3.2,.357,.340,0.9,1.2,.800,0.1,1.3,1.4,2.1,0.5,0.1,1.2,1.1,3.7
425,Iman Shumpert\shumpim01,SG,27,CLE,14,6,19.7,1.6,4.1,.379,0.5,1.9,.269,1.1,2.3,.469,.440,0.8,1.1,.733,0.5,2.4,2.9,1.2,0.6,0.4,1.2,1.6,4.4
426,Pascal Siakam\siakapa01,PF,23,TOR,59,4,20.2,3.1,6.0,.506,0.3,1.8,.187,2.7,4.2,.643,.534,0.6,1.0,.607,1.1,3.4,4.5,1.9,0.8,0.5,0.8,2.0,7.1
427,Ben Simmons\simmobe01,PG,21,PHI,58,58,34.8,7.0,13.2,.532,0.0,0.2,.000,7.0,13.0,.539,.532,2.6,4.6,.568,1.8,5.8,7.7,7.4,1.8,0.9,3.6,2.7,16.6
428,Jonathon Simmons\simmojo02,SG,28,ORL,60,41,29.0,5.2,11.1,.468,0.9,2.8,.325,4.3,8.3,.517,.510,2.5,3.3,.769,0.9,2.6,3.5,2.4,0.9,0.3,2.0,2.5,13.8
429,Kobi Simmons\simmoko01,PG,20,MEM,13,0,15.3,1.6,4.1,.396,0.2,1.0,.231,1.4,3.1,.450,.425,0.5,0.5,1.000,0.2,1.2,1.5,1.2,0.6,0.2,0.8,1.4,4.0
430,Kyle Singler\singlky01,SF,29,OKC,12,0,4.9,0.6,1.8,.333,0.2,0.4,.400,0.4,1.3,.313,.381,0.6,1.1,.538,0.1,0.8,0.8,0.2,0.1,0.0,0.3,0.3,1.9
431,Marcus Smart\smartma01,SG,23,BOS,50,10,29.8,3.5,9.5,.368,1.4,4.5,.301,2.1,5.0,.428,.439,1.7,2.3,.726,0.7,2.7,3.4,4.7,1.3,0.4,2.4,2.6,10.1
432,Dennis Smith\smithde03,PG,20,DAL,54,54,29.4,5.6,14.4,.388,1.5,5.0,.306,4.1,9.4,.431,.441,2.0,2.9,.690,0.7,3.2,3.9,4.8,1.0,0.2,2.9,2.2,14.6
433,Ish Smith\smithis01,PG,29,DET,61,26,24.7,4.8,9.9,.479,0.2,0.8,.271,4.5,9.1,.497,.490,1.2,1.7,.696,0.4,2.4,2.8,4.4,0.8,0.2,1.3,1.8,10.9
434,J.R. Smith\smithjr01,SG,32,CLE,59,56,29.3,3.0,7.6,.392,1.9,5.3,.363,1.1,2.3,.457,.518,0.4,0.6,.684,0.4,2.6,3.0,1.9,0.9,0.2,1.0,2.2,8.3
435,Jason Smith\smithja02,C,31,WAS,23,2,9.4,1.3,3.7,.349,0.0,1.0,.045,1.3,2.8,.453,.355,0.7,0.7,.882,0.7,1.0,1.7,0.5,0.1,0.4,0.5,1.7,3.3
436,Josh Smith\smithjo03,PF,32,NOP,3,0,4.0,0.3,1.3,.250,0.0,0.0,"",0.3,1.3,.250,.250,0.0,0.0,"",1.0,0.3,1.3,0.0,0.0,0.0,0.0,1.0,0.7
